label,generation,hypervolume
u1_spea2_div,9,4258075.1864
u1_spea2_div,10,4270638.6374
u1_spea2_div,11,4273281.1314
u1_spea2_div,12,4325253.9858
u1_spea2_div,13,4604709.7937
u1_spea2_div,14,4594496.299
u1_spea2_div,15,4595457.467
u1_spea2_div,16,4634950.6564
u1_spea2_div,17,4659857.3474
u1_spea2_div,18,4661307.1674
u1_spea2_div,19,4661488.5984
u1_spea2_div,20,4662545.5924
u1_spea2_div,21,4708322.7149
u1_spea2_div,22,4708322.7149
u1_spea2_div,23,4747824.0133
u1_spea2_div,24,4753935.5273
u1_spea2_div,25,4767385.2223
u1_spea2_div,26,4782985.8063
u1_spea2_div,27,4846600.7459
u1_spea2_div,28,4846600.7459
u1_spea2_div,29,4846712.3059
u1_spea2_div,30,4846848.0339
u1_spea2_div,31,4847906.5059
u1_spea2_div,32,4848555.6009
u1_spea2_div,33,4932200.5793
u1_spea2_div,34,4941338.8421
u1_spea2_div,35,4978060.4816
u1_spea2_div,36,4978594.5096
u1_spea2_div,37,4973847.1576
u1_spea2_div,38,4973847.1576
u1_spea2_div,39,4974032.7936
u1_spea2_div,40,4974874.5736
u1_spea2_div,41,4990233.161
u1_spea2_div,42,4990771.028
u1_spea2_div,43,4997714.106
u1_spea2_div,44,4997714.106
u1_spea2_div,45,5004441.7618
u1_spea2_div,46,5037170.7908
u1_spea2_div,47,5050480.7246
u1_spea2_div,48,5051197.9476
u1_spea2_div,49,5053355.4736
u1_spea2_div,50,5053355.4736
u1_spea2_div,51,5066099.9276
u1_spea2_div,52,5078474.9262
u1_spea2_div,53,5077572.6012
u1_spea2_div,54,5103658.597
u1_spea2_div,55,5103714.757
u1_spea2_div,56,5103714.757
u1_spea2_div,57,5103714.757
u1_spea2_div,58,5103825.349
u1_spea2_div,59,5104214.149
u1_spea2_div,60,5110318.6095
u1_spea2_div,61,5132912.4534
u1_spea2_div,62,5136830.9064
u1_spea2_div,63,5157200.4879
u1_spea2_div,64,5146379.9314
u1_spea2_div,65,5144900.3884
u1_spea2_div,66,5156451.6604
u1_spea2_div,67,5156612.7304
u1_spea2_div,68,5180253.4274
u1_spea2_div,69,5270475.1757
u1_spea2_div,70,5276513.3853
u1_spea2_div,71,5280471.7067
u1_spea2_div,72,5280881.5347
u1_spea2_div,73,5280881.5347
u1_spea2_div,74,5281050.9217
u1_spea2_div,75,5282332.0862
u1_spea2_div,76,5282385.8602
u1_spea2_div,77,5282385.8602
u1_spea2_div,78,5282385.8602
u1_spea2_div,79,5282561.2332
u1_spea2_div,80,5282561.2332
u1_spea2_div,81,5282445.7532
u1_spea2_div,82,5282445.7532
u1_spea2_div,83,5314819.901
u1_spea2_div,84,5314819.901
u1_spea2_div,85,5310532.381
u1_spea2_div,86,5302099.7939
u1_spea2_div,87,5288883.5371
u1_spea2_div,88,5290156.6961
u1_spea2_div,89,5290156.6961
u1_spea2_div,90,5304180.3786
u1_spea2_div,91,5304180.3786
u1_spea2_div,92,5317103.7416
u1_spea2_div,93,5317272.5296
u1_spea2_div,94,5317272.5296
u1_spea2_div,95,5322205.679
u1_spea2_div,96,5322205.679
u1_spea2_div,97,5337675.9248
u1_spea2_div,98,5339697.5523
u1_spea2_div,99,5339679.3293
u1_spea2_div,100,5339604.2213
u1_spea2_nodiv,0,3537751.2029
u1_spea2_nodiv,1,3507919.7548
u1_spea2_nodiv,2,3693510.3468
u1_spea2_nodiv,3,3989522.5166
u1_spea2_nodiv,4,4092641.9027
u1_spea2_nodiv,5,4108632.8589
u1_spea2_nodiv,6,4168847.6131
u1_spea2_nodiv,7,4178476.3297
u1_spea2_nodiv,8,4179345.8817
u1_spea2_nodiv,9,4402763.0712
u1_spea2_nodiv,10,4427064.6671
u1_spea2_nodiv,11,4431638.0032
u1_spea2_nodiv,12,4441005.1462
u1_spea2_nodiv,13,4441140.6062
u1_spea2_nodiv,14,4461052.6577
u1_spea2_nodiv,15,4464302.9767
u1_spea2_nodiv,16,4478695.9623
u1_spea2_nodiv,17,4501942.6698
u1_spea2_nodiv,18,4513240.927
u1_spea2_nodiv,19,4514330.6362
u1_spea2_nodiv,20,4582903.4491
u1_spea2_nodiv,21,4604298.6305
u1_spea2_nodiv,22,4596987.3705
u1_spea2_nodiv,23,4691229.551
u1_spea2_nodiv,24,4691229.551
u1_spea2_nodiv,25,4691229.551
u1_spea2_nodiv,26,4696132.4987
u1_spea2_nodiv,27,4894548.8578
u1_spea2_nodiv,28,4907625.9961
u1_spea2_nodiv,29,4907636.9401
u1_spea2_nodiv,30,4913184.4134
u1_spea2_nodiv,31,4915023.1774
u1_spea2_nodiv,32,4939074.3248
u1_spea2_nodiv,33,4947071.8094
u1_spea2_nodiv,34,4982891.9254
u1_spea2_nodiv,35,5145767.9721
u1_spea2_nodiv,36,5149995.2571
u1_spea2_nodiv,37,5159874.0591
u1_spea2_nodiv,38,5159874.0591
u1_spea2_nodiv,39,5159874.0591
u1_spea2_nodiv,40,5165034.7879
u1_spea2_nodiv,41,5165150.3729
u1_spea2_nodiv,42,5165150.3729
u1_spea2_nodiv,43,5168524.4789
u1_spea2_nodiv,44,5169058.9049
u1_spea2_nodiv,45,5169063.2849
u1_spea2_nodiv,46,5186678.2491
u1_spea2_nodiv,47,5187894.5251
u1_spea2_nodiv,48,5191839.0211
u1_spea2_nodiv,49,5205187.6046
u1_spea2_nodiv,50,5206394.7326
u1_spea2_nodiv,51,5249776.4249
u1_spea2_nodiv,52,5250892.2299
u1_spea2_nodiv,53,5250892.2299
u1_spea2_nodiv,54,5311213.5959
u1_spea2_nodiv,55,5313105.4369
u1_spea2_nodiv,56,5351387.1792
u1_spea2_nodiv,57,5375471.8776
u1_spea2_nodiv,58,5377111.4636
u1_spea2_nodiv,59,5377111.4636
u1_spea2_nodiv,60,5411525.7122
u1_spea2_nodiv,61,5420932.6192
u1_spea2_nodiv,62,5420932.6192
u1_spea2_nodiv,63,5424863.8318
u1_spea2_nodiv,64,5425838.8048
u1_spea2_nodiv,65,5425838.8048
u1_spea2_nodiv,66,5438425.0993
u1_spea2_nodiv,67,5438427.4933
u1_spea2_nodiv,68,5438436.9433
u1_spea2_nodiv,69,5438402.8108
u1_spea2_nodiv,70,5440293.2583
u1_spea2_nodiv,71,5440432.7223
u1_spea2_nodiv,72,5440432.7223
u1_spea2_nodiv,73,5440432.7223
u1_spea2_nodiv,74,5453106.8863
u1_spea2_nodiv,75,5455790.6499
u1_spea2_nodiv,76,5460520.8709
u1_spea2_nodiv,77,5573657.4751
u1_spea2_nodiv,78,5577455.0981
u1_spea2_nodiv,79,5573554.3441
u1_spea2_nodiv,80,5575280.5081
u1_spea2_nodiv,81,5575280.5081
u1_spea2_nodiv,82,5575280.5081
u1_spea2_nodiv,83,5575345.2681
u1_spea2_nodiv,84,5575345.2681
u1_spea2_nodiv,85,5578976.1711
u1_spea2_nodiv,86,5578976.1711
u1_spea2_nodiv,87,5606541.8561
u1_spea2_nodiv,88,5625216.5589
u1_spea2_nodiv,89,5629011.9769
u1_spea2_nodiv,90,5671759.0679
u1_spea2_nodiv,91,5671759.0679
u1_spea2_nodiv,92,5671759.0679
u1_spea2_nodiv,93,5671708.5895
u1_spea2_nodiv,94,5671708.5895
u1_spea2_nodiv,95,5678017.5165
u1_spea2_nodiv,96,5678017.5165
u1_spea2_nodiv,97,5678017.5165
u1_spea2_nodiv,98,5678017.5165
u1_spea2_nodiv,99,5682367.9791
u1_spea2_nodiv,100,5691509.9456
u2_nsgaii_div,0,6509807.3886
u2_nsgaii_div,1,6585556.1266
u2_nsgaii_div,2,6283455.6888
u2_nsgaii_div,3,6320405.1499
u2_nsgaii_div,4,6580517.2002
u2_nsgaii_div,5,6608709.8772
u2_nsgaii_div,6,6615952.8125
u2_nsgaii_div,7,6632364.0653
u2_nsgaii_div,8,6774644.7197
u2_nsgaii_div,9,6862445.7687
u2_nsgaii_div,10,6950514.1137
