solution_id,preference,cost,time,feasible,compliance_5,distinct_groups,n_foods,energy,protein,carbohydrate,fiber,sodium,food_ids,food_names
46,64.2,22.26,215.0,0,3,11,14,2150.6,107.96,219.63,22.27,1499.82,330;362;42;44;22;12;86;3;76;6;159;266;345;234,PORTAKAL | ŞEFTALİ SUYU LD | KUŞBURNU MARMELATI | LOR PEYNİRİ | GREYFURT SUYU | ÇİLEK REÇELİ | ÜZÜM PEKMEZİ | AYVA REÇELİ | SİYAH ZEYTIN | BEYAZ PEYNIR | ELMA DİLİM PATATES KIZARTMASI | KORNİŞON TURŞU | SEBZELİ  PİLİÇ KEBAP | ISPANAKLI PATATES ÇORBASI
47,63.7,25.1,160.0,0,3,9,11,2113.89,60.99,300.42,36.24,1396.22,79;252;36;29;161;285;16;225;357;217;385,SÜT | KAYISI SUYU LD | KAYMAK | INCİR REÇELİ | ERİK | MALTA ERİĞİ | EKMEK | HAZIR PAKETLİ SÜTLÜ TATLI-TAVUK GÖĞSÜ | SUCUKLU KURU FASULYE | HAYDARİ | YOĞURTLU HAVUÇ KIZARTMASI
48,63.7,21.13,150.0,0,3,8,10,2071.27,85.02,163.78,36.03,1428.36,113;3;248;42;286;79;324;69;169;131,AYVA | AYVA REÇELİ | KARPUZ | KUŞBURNU MARMELATI | MANDALİNA | SÜT | PİLİÇ KAVURMA | ROKA SALATASI | ETLİ TAZE FASULYE | CACIK
49,62.6,32.77,135.0,1,5,10,17,2169.07,56.11,274.67,42.4,1525.43,89;42;113;81;286;3;367;21;12;29;161;92;44;76;214;244;51,YABAN MERSİNİ MARMELATI | KUŞBURNU MARMELATI | AYVA | ŞEFTALİ SUYU | MANDALİNA | AYVA REÇELİ | TAM BUĞDAY EKMEK LD | FINDIK EZMESİ | ÇİLEK REÇELİ | INCİR REÇELİ | ERİK | YEŞİL ZEYTIN | LOR PEYNİRİ | SİYAH ZEYTIN | HAVUÇ TARATOR | KADINBUDU KÖFTE | NARLI KAHVALTI SALATASI
50,62.0,14.24,280.0,0,3,9,11,2198.82,54.95,332.16,23.88,1429.17,7;16;302;86;14;27;382;271;370;346;386,BÖĞÜRTLEN REÇELİ | EKMEK | MUZ | ÜZÜM PEKMEZİ | DİL PEYNİRİ | HAZIR PAKETLİ TATLI-TAHİN HELVASI | YOĞURT TATLISI | KREMALI DOMATES  ÇORBASI | TEL ŞEHRİYELİ HAVUÇ ÇORBASI | SEBZELİ BULGUR PİLAVI | YOĞURTLU ISPANAK
51,61.6,21.34,278.0,1,5,8,11,2132.09,56.12,251.86,30.76,2100.81,21;6;61;67;22;160;50;215;271;298;237,FINDIK EZMESİ | BEYAZ PEYNIR | PERMESAN PEYNİRİ | PORTAKAL SUYU | GREYFURT SUYU | ELMA SUYU LD | MEYVELİ YULAF GEVREĞİ | HAVUÇLU PİRİNÇ PİLAVI | KREMALI DOMATES  ÇORBASI | MEYHANE PİLAVI | İMAMBAYILDI
52,61.1,18.72,265.0,0,4,9,11,2564.46,82.72,248.52,42.44,1550.67,113;3;248;42;286;79;99;175;247;200;395,AYVA | AYVA REÇELİ | KARPUZ | KUŞBURNU MARMELATI | MANDALİNA | SÜT | ANDALOZ ÇORBASI | ETSİZ BROKOLİ | KARNIYARIK | FINDIKLI İRMİK HELVASI | YOĞURTLU SEMİZOTU
53,60.4,7.54,365.0,0,3,7,8,2066.85,43.34,300.45,26.76,1362.28,6;60;211;48;402;150;382;271,BEYAZ PEYNIR | PATATESLİ YUFKA BÖREĞİ | HAVUÇ ÇORBASI | MEVSİM SALATASI | ZEYTİNYAĞLI KEREVİZ | DOMATESLİ BİBERLİ ERİŞTE | YOĞURT TATLISI | KREMALI DOMATES  ÇORBASI
54,58.0,13.16,355.0,1,5,8,9,2369.38,59.51,250.91,24.17,1813.16,29;53;155;39;27;190;298;271;237,INCİR REÇELİ | PANKEK | EKMEK LD | KREP | HAZIR PAKETLİ TATLI-TAHİN HELVASI | ETSİZ PATATES OTURTMASI | MEYHANE PİLAVI | KREMALI DOMATES  ÇORBASI | İMAMBAYILDI
55,57.7,30.09,130.0,0,3,10,14,2443.7,66.68,328.63,39.59,2180.09,248;42;286;285;252;330;12;29;16;369;246;62;222;316,KARPUZ | KUŞBURNU MARMELATI | MANDALİNA | MALTA ERİĞİ | KAYISI SUYU LD | PORTAKAL | ÇİLEK REÇELİ | INCİR REÇELİ | EKMEK | TEL ŞEHRİYE ÇORBASI | KARNABAHAR SALATASI LD | PEYNİRLİ AKDENİZ SALATASI | HAZIR PAKETLİ SÜTLÜ TATLI-SAKIZLI MUHALLEBİ | PATLICAN MUSAKKA
56,57.1,7.19,340.0,0,4,6,7,2083.84,55.83,281.65,24.59,1404.49,6;60;382;271;370;346;386,BEYAZ PEYNIR | PATATESLİ YUFKA BÖREĞİ | YOĞURT TATLISI | KREMALI DOMATES  ÇORBASI | TEL ŞEHRİYELİ HAVUÇ ÇORBASI | SEBZELİ BULGUR PİLAVI | YOĞURTLU ISPANAK
57,56.2,18.99,155.0,1,5,8,11,2084.18,45.69,275.41,29.55,1648.09,113;3;248;42;286;79;309;372;126;218;317,AYVA | AYVA REÇELİ | KARPUZ | KUŞBURNU MARMELATI | MANDALİNA | SÜT | PARMAK PATATES KIZARTMASI | TOYGA ÇORBASI | BROKOLİ SALATASI LD | HAZIR PAKETLİ SÜTLÜ TATLI-FINDIKLI KREM ŞOKOLA | PEYNİRLİ AKDENİZ SALATASI LD
58,55.4,16.27,240.0,1,5,7,8,2037.03,95.14,198.88,31.26,1686.5,16;79;248;302;267;169;70;393,EKMEK | SÜT | KARPUZ | MUZ | KÖRİ SOSLU PİLİÇ  SOTE | ETLİ TAZE FASULYE | SEBZE GARNİTÜR (HAŞLANMIŞ) | YOĞURTLU PATLICAN KIZARTMASI
59,54.5,19.85,125.0,0,3,8,13,2196.36,113.28,262.17,19.79,1504.27,22;44;362;160;105;86;3;76;6;248;252;321;391,GREYFURT SUYU | LOR PEYNİRİ | ŞEFTALİ SUYU LD | ELMA SUYU LD | ARMUT | ÜZÜM PEKMEZİ | AYVA REÇELİ | SİYAH ZEYTIN | BEYAZ PEYNIR | KARPUZ | KAYISI SUYU LD | PİLİÇ HAŞLAMA | YOĞURTLU KARNABAHAR KIZARTMASI
60,54.2,21.96,105.0,1,5,8,9,2072.67,97.47,192.85,23.63,1517.16,362;6;29;285;75;161;42;293;316,ŞEFTALİ SUYU LD | BEYAZ PEYNIR | INCİR REÇELİ | MALTA ERİĞİ | SİMİT | ERİK | KUŞBURNU MARMELATI | MANTARLI PİLİÇ SOTE | PATLICAN MUSAKKA
